"description","category","subcategory","merchant","amount","is_expense"
"Dawa ya homa","Childcare & Parenting","Children's Health & Medical Care","Kenya Pediatric Association",600.26,1
"Kuku choma","Food & Dining","Restaurants","Habesha Ethiopian Restaurant",23723.41,1
"Gel polish removal","Personal Care & Grooming","Manicure & Pedicure","Forever Living Products Kenya",240.04,1
"HELB installment","Education & Learning","Student Loans Repayment","Heinemann Publishers Kenya",393.62,1
"Kitabu rights","Income & Earnings","Royalties & Licensing Income","Passive Income",478.09,1
"Side Hustle Earnings purchase","Income & Earnings","Side Hustle Earnings","Passive Income",338.34,1
"Kikombe cha chai","Gifts & Donations","Holiday Gifts","Equity Group Foundation",834.3,1
"Umeme ya nyumba","Utilities","Electricity","Gulf Energy Limited",63.55,1
"Team target bonus","Income & Earnings","Bonuses & Commissions","YouTube Ad Revenue",902.9,1
"Sukuma wiki bundle","Food & Dining","Groceries","Crystal Bay Resort Restaurant",9111.16,1
"Banners za Siasa","Business & Work Expenses","Advertising & Marketing","KRA iTax",558.62,1
"Ushauri wa Pesa","Legal & Professional Services","Financial Advisors","Grant Thornton Kenya",760.91,1
"Traffic offence fine","Legal & Professional Services","Court Fees","Contract Drafting & Review Kenya",972.53,1
"Late library books","Miscellaneous & Unexpected Expenses","Fines & Penalties","Legal Fees",749.74,1
"Dawa haraka","Miscellaneous & Unexpected Expenses","Emergency Expenses","Legal Fees",793.74,1
"Game bundles offer","Leisure & Entertainment","Video Games & Online Gaming","Create2030",880.94,1
"Bima ya gari","Financial Expenses","Insurance Premiums","Kenya Union of Savings and Credit Cooperatives",483.08,1
"Series binge","Leisure & Entertainment","Streaming Services","Kenya Music Festival",524.64,1
"Land rates","Business & Work Expenses","Professional Services","Family Bank SME Solutions",847.35,1
"Rental Income purchase","Income & Earnings","Rental Income","YouTube Ad Revenue",382.83,1
"Frames replacement","Health & Fitness","Vision Care","Jaramogi Oginga Odinga Teaching & Referral Hospital",30.42,1
"Kids school fees","Childcare & Parenting","Daycare & Preschool Fees","Baby Love Store",782.79,1
"Nyumba kodi","Housing & Home Expenses","Rent","Solai Paints",754.7,1
"Nairobi-Mombasa return","Travel & Vacation","Flights","Kitich Camp",216.45,1
"Filling Kapu","Health & Fitness","Dental Care","Doc Care Health",944.2,1
"Scooter hire CBD","Transportation","Bike & Scooter Rentals","GLANCE ROADWAYS",794.58,1
"Dog wash session","Pets & Animal Care","Grooming & Pet Spa Services","Kitten & Pup Pet Store",818.36,1
"Blog article writing","Income & Earnings","Freelance Income","Pension & Retirement",806.45,1
"Pension contribution plan","Legal & Professional Services","Financial Advisors","Kenya Revenue Authority (KRA) Tax Advisory",459.89,1
"Nyumba safi kabisa","Housing & Home Expenses","Home Cleaning Services","Kenya Pipeline Company",132.45,1
"Ushago Sacco Fee","Education & Learning","Workshops & Seminars","GEMS Cambridge International School",222.35,1
"Land dispute settlement","Legal & Professional Services","Lawyer Fees","Employment & Immigration Law Kenya",992.99,1
"Kitenge material","Income & Earnings","Gifts Received","Pension & Retirement",750.71,1
"Advocate retainer fee","Business & Work Expenses","Professional Services","Adobe Creative Cloud Kenya",495.13,1
"Land sale document","Legal & Professional Services","Notary Services","Mohammed Muigai LLP",221.81,1
"Title deed stamp","Legal & Professional Services","Notary Services","Oraro & Company Advocates",212.7,1
"Advocate consultation fee","Business & Work Expenses","Professional Services","AfricoWork",376.71,1
"Lawyer Fees purchase","Legal & Professional Services","Lawyer Fees","Anti-Money Laundering Compliance Kenya",825.61,1
"Nyumba rent","Housing & Home Expenses","Rent","Metropolitan Cannon Insurance",666.59,1
"Novel ya Kiswahili","Leisure & Entertainment","Books & Magazines","KenyaBuzz",438.99,1
"Wimbi dog food","Pets & Animal Care","Pet Food & Treats","Dog Training Services Nairobi",974.59,1
"School shoes","Childcare & Parenting","Children's Clothing & Shoes","Smart Start Kindergarten",767.72,1
"Afrobeat concert tix","Leisure & Entertainment","Concerts & Live Events","East FM Kenya",18.45,1
"Chai na mandazi","Travel & Vacation","Hotels & Lodging","Natural World Kenya Safaris",153.2,1
"KRA payment","Financial Expenses","Taxes","Capital Markets Authority",89.94,1
"Manicure pedicure","Personal Care & Grooming","Salons & Beauty Treatments","O’Bao African Skincare",210.18,1
"Hoteli Nakuru","Travel & Vacation","Hotels & Lodging","Real Africa Safaris",866.74,1
"Back massage session","Personal Care & Grooming","Spas & Massages","Soft & Beautiful Kenya",321.06,1
"Nyumba ya Judy","Housing & Home Expenses","Rent","Galaxy Paints & Coating Co. Ltd",606.98,1
"Salon client","Income & Earnings","Side Hustle Earnings","Passive Income",888.81,1
"ATM withdrawal charge","Financial Expenses","Bank Fees","Kingdom Bank",418.87,1
"Passport holder","Travel & Vacation","Travel Accessories","Gracepatt Ecotours Kenya",262.31,1
"School fees contribution","Gifts & Donations","Fundraisers & Contributions","Islamic Relief Kenya",869.81,1
"Chakula ya leo","Food & Dining","Meal Kits & Subscriptions","The Deck Restaurant",867.0,1
"Rental Income purchase","Income & Earnings","Rental Income","Passive Income",484.13,1
"Billboard poster design","Business & Work Expenses","Advertising & Marketing","The Foundry Africa",754.87,1
"KRA return filing","Legal & Professional Services","Tax Preparation Services","Business Registration Service Kenya",382.27,1
"Chai na mandazi","Travel & Vacation","Hotels & Lodging","Kimbla-Mantana African Safaris",192.32,1
"Tyre puncture repair","Transportation","Car Maintenance & Repairs","Fright In Time Ltd.",996.93,1
"Dog grooming session","Pets & Animal Care","Pet Boarding & Sitting","Pets & More Kenya",35.18,1
"Matatu fare","Housing & Home Expenses","Moving & Relocation","Diamond Trust Bank Kenya",989.24,1
"Tooth extraction fee","Health & Fitness","Dental Care","AAR Healthcare",818.83,1
"Toy car","Childcare & Parenting","Kids' Toys & Games","Parenting Support Groups Kenya",281.91,1
"Ugali delivery","Food & Dining","Takeout & Delivery","Villas Watamu Resort Restaurant",142.81,1
"Knee rehab session","Health & Fitness","Physical Therapy","Avenue Hospital",734.46,1
"Jiranis baby care","Childcare & Parenting","Babysitting & Nanny Services","Johnson's Baby Kenya",347.91,1
"Dog food","Pets & Animal Care","Pet Food & Treats","Canine Obedience School Kenya",618.96,1
"Sadaka Kanisa","Gifts & Donations","Religious Donations","PCEA Kikuyu Hospital Charity Fund",296.18,1
"Kikoi ya pamba","Travel & Vacation","Souvenirs & Gifts from Travel","Spirit of Kenya",232.17,1
"Paka asubuhi (Cat morning)","Pets & Animal Care","Grooming & Pet Spa Services","Little Friends Animal Shelter",176.71,1
"Case filing costs","Legal & Professional Services","Court Fees","Land Registration & Conveyancing Kenya",652.77,1
"Mandazi and chai","Food & Dining","Cafés & Coffee Shops","Ocean Beach Resort & Spa Restaurant",596.57,1
"Kibeti ya paka","Pets & Animal Care","Grooming & Pet Spa Services","Nairobi Vet Centre",629.53,1
"Case filing charges","Legal & Professional Services","Court Fees","EY Kenya Tax & Business Advisory",274.67,1
"Fundi charges","Miscellaneous & Unexpected Expenses","Repairs & Maintenance","Legal Fees",178.05,1
"Matatu route permit","Legal & Professional Services","Licensing & Permits","Nyachoti & Company Advocates",245.9,1
"KRA payment","Financial Expenses","Taxes","Capital Markets Authority",42.83,1
"Vitabu shuleni","Leisure & Entertainment","Books & Magazines","Oximeter Entertainment Studios",307.19,1
"Song download","Income & Earnings","Royalties & Licensing Income","Passive Income",992.35,1
"Fuel for boda","Utilities","Gas","American Tower Corporation Kenya",274.9,1
"Meno safi","Health & Fitness","Dental Care","Medanta Africare",245.49,1
"Cloud storage annual","Business & Work Expenses","Software & SaaS Subscriptions","I&M Bank Business Solutions",605.98,1
"Bundle ya DSTV","Utilities","Cable & Streaming Services","Tullow Oil Kenya",211.04,1
"Mama Mboga","Income & Earnings","Refunds & Rebates","Salary",861.79,1
"Uni fees","Education & Learning","Tuition Fees","Kiriri Women’s University of Science and Technology",286.16,1
"Salon client","Income & Earnings","Side Hustle Earnings","Passive Income",116.01,1
"Hesabu ya Pesa","Legal & Professional Services","Financial Advisors","Intellectual Property Kenya",731.11,1
"Business Insurance purchase","Business & Work Expenses","Business Insurance","AfricoWork",945.08,1
"Mama mboga","Gifts & Donations","Personal Gifts","Palmhouse Foundation",643.34,1
"Matatu fare","Housing & Home Expenses","Moving & Relocation","HassConsult Real Estate",603.61,1
"Lotion ya ngozi","Shopping","Beauty & Skincare","Kilifi Mall",479.32,1
"Curtains za bedroom","Shopping","Home Decor & Furnishings","Greenspan Mall",352.52,1
"Project Management Exam","Education & Learning","Professional Certifications","Pwani University",556.85,1
"Lishe ya watoto","Health & Fitness","Supplements & Vitamins","Kenyatta University Teaching,Referral & Research Hospital",568.86,1
"Maji safi","Utilities","Water","American Tower Corporation Kenya",50.39,1
"City council permit","Legal & Professional Services","Licensing & Permits","Kenya Copyright Board",834.34,1
"Dog food","Pets & Animal Care","Pet Toys & Accessories","Kenya Dairy Board Animal Welfare",355.66,1
"Tax filing ada","Legal & Professional Services","Tax Preparation Services","Kenya Investment Authority (KenInvest)",174.76,1
"Toy car red","Shopping","Toys & Games","Voi Safari Mall",444.21,1
"Road license renewal","Transportation","Vehicle Registration & Licensing","Transami (K) Ltd.",513.9,1
"Fundis charge","Miscellaneous & Unexpected Expenses","Repairs & Maintenance","Overdraft Fees",319.05,1
"Jioni babysitting","Childcare & Parenting","Babysitting & Nanny Services","The Karen Hospital Pediatrics",532.16,1
"Juniors school fees","Childcare & Parenting","Daycare & Preschool Fees","Kenya Pediatric Association",212.8,1
"Bridal shower gift","Gifts & Donations","Wedding & Birthday Gifts","Jomo Kenyatta Foundation",800.17,1
"Car Rentals purchase","Travel & Vacation","Car Rentals","Savannah Woods Safaris",560.29,1
"Termite spray job","Housing & Home Expenses","Pest Control","Family Bank",678.64,1
"Movie pap!","Leisure & Entertainment","Streaming Services","Capital FM Kenya",762.79,1
"Tyre puncture fix","Transportation","Car Maintenance & Repairs","Shell",203.96,1
"Project Management Exam","Education & Learning","Professional Certifications","Teachers Service Commission (TSC)",636.86,1
"Paka vet visit","Pets & Animal Care","Veterinary Bills & Pet Insurance","Mobile Vet Services Kenya",995.28,1
"Matatu fare","Transportation","Public Transit","Liftcargo Limited",896.28,1
"Wakanda Forever","Leisure & Entertainment","Movie Tickets","Cinematic Kenya",134.14,1
"Thika Highway Toll","Transportation","Road Tolls","Scania East Africa",694.12,1
"Cloud storage annual","Business & Work Expenses","Software & SaaS Subscriptions","Kenya National Innovation Agency",635.06,1
"Kitenge Fabric","Income & Earnings","Gifts Received","Salary",500.18,1
"Otile concert tix","Leisure & Entertainment","Concerts & Live Events","MOB Entertainment Limited",139.28,1
"Spiced chai mix","Food & Dining","Specialty Foods","Le Grenier à Pain",782.1,1
"Wakanda Forever","Leisure & Entertainment","Movie Tickets","Oximeter Entertainment Studios",139.55,1
"Nyumba safi kabisa","Housing & Home Expenses","Home Cleaning Services","Takaful Insurance of Africa",115.56,1
"Chips funga","Leisure & Entertainment","Amusement Parks & Arcades","TheNairobiReport",34.48,1
"Fundi wa simu","Miscellaneous & Unexpected Expenses","Repairs & Maintenance","Repairs",21.35,1
"Bundle ya data","Utilities","Mobile Phone Bills","Zuku",184.63,1
"Paracetamol na dawa","Health & Fitness","Over-the-Counter Medicines","Heartfulness",169.03,1
"Nyumba cover premium","Housing & Home Expenses","Home Insurance","Phoenix of East Africa Assurance Company",665.47,1
"Wakanda Forever","Leisure & Entertainment","Movie Tickets","Punchline Comedy Club",950.35,1
"Shuka for Mama","Gifts & Donations","Holiday Gifts","Ahadi Kenya Trust",308.64,1
"Weekend getaway tinga","Travel & Vacation","Car Rentals","Kimbilio Lodge",873.9,1
"Dog pampering sessions","Pets & Animal Care","Pet Boarding & Sitting","Pets Paradise Kenya",440.94,1
"Uni fees sem","Education & Learning","Tuition Fees","Kenya Institute of Special Education (KISE)",272.14,1
"Kiswahili course","Education & Learning","Online Courses","Academia Kenya",628.17,1
"Chai leo","Income & Earnings","Rental Income","Lottery Winnings",136.73,1
"Board game","Shopping","Toys & Games","Kibera Shopping Centre",584.97,1
"Paracetamol na Panadol","Health & Fitness","Over-the-Counter Medicines","Daktari Africa",558.31,1
"Kitenge fabric","Shopping","Clothing & Accessories","Galleria Mall",603.1,1
"Dog vaccines","Pets & Animal Care","Veterinary Bills & Pet Insurance","Pet Zone Kenya",822.03,1
"Pump full tank","Utilities","Gas","AccessKenya Group",404.95,1
"Hobbies purchase","Leisure & Entertainment","Hobbies","NRG Radio Kenya",186.2,1
"Sisters kiondo","Gifts & Donations","Holiday Gifts","United Way Kenya",419.79,1
"Driving license renewal","Transportation","Vehicle Registration & Licensing","Toyota Kenya Ltd.",570.12,1
"HELB instalment","Education & Learning","Student Loans Repayment","EdTech East Africa",307.08,1
"Kitenge fabric","Gifts & Donations","Wedding & Birthday Gifts","Kenya Aids NGOs Consortium (KANCO)",907.9,1
"Stapler refills","Business & Work Expenses","Office Supplies","DHL Express Kenya",151.15,1
"Bundle ya data","Utilities","Internet Service","SEACOM Kenya",10.67,1
"Chips funga mbili","Business & Work Expenses","Client Meals & Entertainment","Kenya Industrial Property Institute",138.72,1
"Title deed stamped","Legal & Professional Services","Notary Services","Oil,Gas & Energy Law Kenya",45.1,1
"Passport application","Travel & Vacation","Visa & Passport Fees","Airbnb",38.8,1
"Taka collection fee","Utilities","Waste Management & Recycling","Safaricom",541.27,1
"Safari cover","Travel & Vacation","Travel Insurance","Magical Africa Safaris",968.06,1
"Teeth cleaning","Health & Fitness","Dental Care","HealthX Africa",38.36,1
"Equity dividends received","Income & Earnings","Investment Income","Refunds",934.87,1
"Land title search","Business & Work Expenses","Professional Services","Flutterwave Kenya",535.36,1
"Royalties & Licensing Income purchase","Income & Earnings","Royalties & Licensing Income","Refunds",75.27,1
"Passport holder leather","Travel & Vacation","Travel Accessories","Fly540",994.45,1
"KRA filing fee","Legal & Professional Services","Tax Preparation Services","Insurance Regulatory Authority (IRA) Kenya",122.04,1
"Dog food kilo","Pets & Animal Care","Pet Food & Treats","Safari Pet Store",728.47,1
"Sales incentives payout","Income & Earnings","Bonuses & Commissions","YouTube Ad Revenue",487.05,1
"Juala monthly","Housing & Home Expenses","Home Security Systems","Kentainers Ltd",453.35,1
"Chips funga","Food & Dining","Meal Kits & Subscriptions","Mawe Resort Restaurant",107.12,1
"Kiswahili lessons","Education & Learning","Online Courses","KCA University",513.34,1
"Ola cab fare","Transportation","Taxi & Ride-sharing","Citi Hoppa",626.86,1
"Ear lobe piercing","Personal Care & Grooming","Tattoos & Piercings","L'Oréal Kenya",716.35,1
"Fundi repair","Miscellaneous & Unexpected Expenses","Emergency Expenses","Overdraft Fees",635.75,1
"School fees drive","Gifts & Donations","Fundraisers & Contributions","Angel Centre for Abandoned Children",366.11,1
"Toy car","Childcare & Parenting","Kids' Toys & Games","MP Shah Hospital Pediatrics",933.87,1
"Kitenge fabric","Gifts & Donations","Wedding & Birthday Gifts","Homeless of Nairobi Initiative",48.99,1
"Gym membership","Miscellaneous & Unexpected Expenses","Subscriptions & Memberships","Legal Fees",612.47,1
"Lishe ya watoto","Health & Fitness","Supplements & Vitamins","Karen Hospital",247.77,1
"Retirement Savings purchase","Financial Expenses","Retirement Savings","NCBA Bank Kenya",125.34,1
"Pedicure plus manicure","Personal Care & Grooming","Salons & Beauty Treatments","Nywele Creative",72.62,1
"Masai shuka","Travel & Vacation","Souvenirs & Gifts from Travel","Savannah Woods Safaris",382.39,1
"Sokos bin charges","Utilities","Waste Management & Recycling","Energy and Petroleum Regulatory Authority (EPRA)",697.87,1
"Model plane kit","Leisure & Entertainment","Hobbies","Viusasa",426.52,1
"Masai shuka","Travel & Vacation","Souvenirs & Gifts from Travel","Expeditions Maasai Safaris",20.19,1
"New football boots","Shopping","Sports & Outdoor Equipment","Foschini",653.63,1
"Football club fees","Childcare & Parenting","Extracurricular Activities","Nairobi Kids Playhouse",886.38,1
"Termite treatment done","Housing & Home Expenses","Pest Control","Hatari Security Services Ltd",120.35,1
"Sacco contribution","Financial Expenses","Retirement Savings","Cellulant",626.55,1
"Church harambee","Gifts & Donations","Fundraisers & Contributions","World Food Programme Kenya",799.88,1
"Nganya fare","Transportation","Taxi & Ride-sharing","Chevron",312.26,1
"Bridal shower contribution","Gifts & Donations","Wedding & Birthday Gifts","Safaricom Foundation",821.38,1
"Hotel Nairobi","Business & Work Expenses","Business Travel Expenses","WeWork",603.88,1
"Advocate consultation fees","Business & Work Expenses","Professional Services","Adobe Creative Cloud Kenya",455.91,1
"Matatu fare","Transportation","Public Transit","AGL Kenya Limited",993.78,1
"Fundi charges","Miscellaneous & Unexpected Expenses","Repairs & Maintenance","Repairs",833.42,1
"tomatoes","Food & Dining","Groceries","Market",80.0,1
"Kidogo fees","Childcare & Parenting","Daycare & Preschool Fees","Tiny Tots Daycare",964.04,1
"Samosa na chai","Business & Work Expenses","Business Travel Expenses","Microsoft Office 365 Kenya",13.55,1
"Nyumba safi kabisa","Housing & Home Expenses","Home Cleaning Services","Kenindia Assurance Company",999.85,1
"Bonuses & Commissions purchase","Income & Earnings","Bonuses & Commissions","Refunds",558.15,1
"Mental Health Therapy purchase","Health & Fitness","Mental Health Therapy","Pandya Memorial Hospital",439.88,1
"Dog food kibble","Pets & Animal Care","Pet Food & Treats","Karen Veterinary Hospital",114.4,1
"Nyumba Mwezi mmoja","Housing & Home Expenses","Rent","Furniture Palace",933.42,1
"Chips funga","Business & Work Expenses","Client Meals & Entertainment","KCB Business Solutions",380.77,1
"Shule lessons","Education & Learning","Educational Subscriptions","Kenya Education Management Institute",202.43,1
"Data bundle","Shopping","Electronics & Gadgets","CBD Shopping Centre",597.11,1
"Matatu route license","Legal & Professional Services","Licensing & Permits","Family Law & Divorce Lawyers Kenya",371.81,1
"DSTV premium","Miscellaneous & Unexpected Expenses","Subscriptions & Memberships","Repairs",500.1,1
"Petrol station refill","Utilities","Gas","Strathmore Energy Research Centre",707.59,1
"Matatu fare","Transportation","Public Transit","Aseo Ltd.",727.39,1
"Passport application fee","Travel & Vacation","Visa & Passport Fees","Cheli & Peacock Safaris",875.11,1
"Shamba investment","Financial Expenses","Investment Contributions","American Express",81.24,1
"Airport parking fee","Business & Work Expenses","Business Travel Expenses","Trello Kenya",197.99,1
"Ear lobe piercing","Personal Care & Grooming","Tattoos & Piercings","Linton's Beauty World",694.13,1
"Knit sweater","Income & Earnings","Gifts Received","Salary",68.02,1
"Watoto support","Gifts & Donations","Charitable Donations","One Acre Fund Kenya",194.43,1
"Mama mboga","Gifts & Donations","Tips & Gratuities","Kenya Women and Children's Wellness Centre",452.51,1
"Flights purchase","Travel & Vacation","Flights","Art Safaris (Africa) Ltd",429.3,1
"Chips funga","Food & Dining","Fast Food","Graze Steakhouse",1533.78,1
"Driving license renewal","Transportation","Vehicle Registration & Licensing","Pickit Kenya",973.16,1
"Mafuta ya nywele","Personal Care & Grooming","Personal Hygiene Products","Bio Oil Kenya",76.81,1
"Netflix kila mwezi","Utilities","Cable & Streaming Services","Kenya Solar Energy Limited",359.03,1
"Maji safi","Utilities","Water","KenolKobil",124.47,1
"DSTV subscription","Utilities","Cable & Streaming Services","Kenya Electricity Transmission Company (KETRACO)",729.04,1
"Ear lobe stretch","Personal Care & Grooming","Tattoos & Piercings","Chandarana Beauty Section",522.03,1
"Matatu fare","Business & Work Expenses","Business Travel Expenses","Dropbox Kenya",863.89,1
"Diesel pump three","Transportation","Fuel & Gasoline","Metro Logistics",725.42,1
"Bundle ya data","Leisure & Entertainment","Video Games & Online Gaming","Kenya Film Classification Board",326.28,1
"Umeme token","Utilities","Electricity","Helios Towers Africa",64.63,1
"School exercise books","Shopping","Books & Stationery","Carrefour",626.78,1
"Kids school fees","Childcare & Parenting","School Fees & Tuition","Teddy Bears Kindergarten",926.87,1
"KRA filing fees","Legal & Professional Services","Tax Preparation Services","Wills & Estate Planning Kenya",556.42,1
"Thika highway pass","Transportation","Road Tolls","BasiGo",208.31,1
"Chess set","Leisure & Entertainment","Board Games & Puzzles","MumsVillage",927.09,1
"HELB installment","Education & Learning","Student Loans Repayment","African Books Collective",239.91,1
"Number plate transfer","Transportation","Vehicle Registration & Licensing","ACE Mobility",840.33,1
"Drinks pale","Food & Dining","Bars & Nightclubs","Mawimbi Seafood Restaurant",673.71,1
"Board game night","Shopping","Toys & Games","Westgate Shopping Mall",177.18,1
"Shamba fertilizer","Income & Earnings","Refunds & Rebates","Freelance Income",284.26,1
"Sukuma wiki bundle","Food & Dining","Specialty Foods","La Dolce Vita",304.68,1
"Shamba tools","Miscellaneous & Unexpected Expenses","Lost or Stolen Items","Legal Fees",893.32,1
"DSTV package upgrade","Utilities","Cable & Streaming Services","Kenya Solar Energy Limited",35.19,1
"Passport application fee","Travel & Vacation","Visa & Passport Fees","Safari Line Defender",490.33,1
"Dog chew toy","Pets & Animal Care","Pet Toys & Accessories","Pawfect Veterinary Clinic",565.08,1
"Kids school fees","Childcare & Parenting","Babysitting & Nanny Services","Happy Tots Nursery",860.14,1
"Property Taxes purchase","Housing & Home Expenses","Property Taxes","Homefix Kenya",205.01,1
"Chama contribution","Financial Expenses","Retirement Savings","Citibank N.A. Kenya",160.21,1
