description,category,subcategory,merchant,amount
Gor Mahia ticket,Leisure & Entertainment,Sporting Events,XFM Kenya,85.89
Pension contribution,Legal & Professional Services,Financial Advisors,Data Protection & Privacy Law Kenya,441.04
Simu Imeibiwa,Miscellaneous & Unexpected Expenses,Lost or Stolen Items,Repairs,982.98
Project management fees,Education & Learning,Professional Certifications,Moi University,969.49
Tyre puncture repair,Transportation,Car Maintenance & Repairs,Toyota Kenya Ltd.,248.59
Manicure,pedicure combo,Personal Care & Grooming,"Salons & Beauty Treatments,Beauty Options Kenya",652.46
Fade na line,Personal Care & Grooming,Haircuts & Barber Services,Maya Organics,583.27
Tiba ya goti,Health & Fitness,Physical Therapy,Metropolitan Hospital,287.22
Safi bin collection,Utilities,Waste Management & Recycling,Africa Oil Corporation,644.8
Vasha Movies,Leisure & Entertainment,Streaming Services,NairobiWire,763.96
Salon clients tips,Income & Earnings,Side Hustle Earnings,Refunds,734.23
Board game night,Childcare & Parenting,Kids' Toys & Games,Toy World Kenya,641.72
Nyumba rent,Housing & Home Expenses,Rent,G4S Kenya,374.33
City sightseeing bus,Travel & Vacation,Tours & Excursions,Qatar Airways,454.83
Rose attar,Personal Care & Grooming,Perfumes & Fragrances,Cinnabar Green,61.07
Board game night,Shopping,Toys & Games,Two Rivers Mall,86.37
Lotion ya ngozi,Shopping,Beauty & Skincare,Carrefour,655.8
Petrol full tank,Utilities,Gas,Barefoot Power,177.3
Visa & Passport Fees purchase,Travel & Vacation,Visa & Passport Fees,Spirit of Kenya,27.0
Wali,sukuma wiki,Childcare & Parenting,"Babysitting & Nanny Services,Chandarana Supermarket Baby Section",331.05
Ear lobe pierce,Personal Care & Grooming,Tattoos & Piercings,Amara Skincare,345.5
Stadium hotdog,soda,Leisure & Entertainment,"Sporting Events,Trace East Africa",171.03
Hotel,Nairobi,Business & Work Expenses,"Business Travel Expenses,Kenya Private Sector Alliance (KEPSA)",404.74
Royalties & Licensing Income purchase,Income & Earnings,Royalties & Licensing Income,Salary,785.86
Data plan renewal,Utilities,Mobile Phone Bills,Safaricom,676.85
Card annual fee,Financial Expenses,Credit Card Annual Fees,AIG,493.56
Kitchen utensils set,Gifts & Donations,Wedding & Birthday Gifts,Habitat for Humanity Kenya,627.94
Beba stuff,Housing & Home Expenses,Moving & Relocation,First Assurance Company Limited,892.04
Chew toy,treats,Pets & Animal Care,"Pet Toys & Accessories,Pet Essentials Kenya",380.95
Fundi charges,Miscellaneous & Unexpected Expenses,Repairs & Maintenance,Overdraft Fees,302.58
KRA payment,Financial Expenses,Taxes,Telkom Kenya T-Kash,422.09
WiFi ya home,Utilities,Internet Service,Eaton Towers Kenya,865.55
Toddler winter boots,Childcare & Parenting,Children's Clothing & Shoes,Children's Clothing & Shoes Store,166.53
Stapler na wino,Business & Work Expenses,Office Supplies,Hustler Fund Kenya,849.96
Sinus relief pills,Health & Fitness,Over-the-Counter Medicines,Aga Khan Hospital,78.08
Gym,monthly,Health & Fitness,"Gym Memberships,KANA GOAT MILK PRODUCTS",116.33
Wheel alignment done,Transportation,Car Maintenance & Repairs,Scania East Africa,147.56
Grammarly premium annual,Business & Work Expenses,Software & SaaS Subscriptions,HubSpot Kenya,115.01
Safarini Kisumu,Travel & Vacation,Flights,Twiga Tours,884.01
Dogs annual shots,Pets & Animal Care,Veterinary Bills & Pet Insurance,Petco,402.26
Fidos vacation stay,Pets & Animal Care,Pet Boarding & Sitting,Kenya Aquatics & Pet Store,703.47
Termite treatment,Housing & Home Expenses,Pest Control,Space and Style Ltd,122.36
Salon treat,Income & Earnings,Gifts Received,Pension & Retirement,434.23
KCSE registration fee,Education & Learning,Test Preparation & Exams Fees,Sheikh Khalifa Bin Zayed Secondary School,361.96
Safaricom M-Pesa earnings,Income & Earnings,Royalties & Licensing Income,YouTube Ad Revenue,151.64
Charitable Donations purchase,Gifts & Donations,Charitable Donations,Red Cross,934.73
SUV weekly rental,Transportation,Vehicle Leasing & Rentals,Transami (K) Ltd.,86.22
Board game,Childcare & Parenting,Kids' Toys & Games,The Nanny Centre Kenya,702.71
Dog chews,Pets & Animal Care,Pet Toys & Accessories,Livestock Veterinary Services Kenya,929.18
Shell,full tank,Utilities,"Gas,Kenya Organic Agriculture Network (KOAN)",402.19
Diesel,full tank,Transportation,"Fuel & Gasoline,Lochab Transport Ltd.",685.39
Wiki Chef weekly,Food & Dining,Meal Kits & Subscriptions,The Edge Beach Restaurant,735.58
HELB installment,Education & Learning,Student Loans Repayment,Oshwal Academy Nairobi,927.34
Textbook refund deposit,Education & Learning,Books & Educational Materials,Delight International School,959.13
KRA payment,Financial Expenses,Taxes,Prime Bank Kenya,932.7
Hotel,Nairobi,Business & Work Expenses,"Business Travel Expenses,WeWork",603.88
Tiba ya mgongo,Health & Fitness,Physical Therapy,Karen Hospital,479.36
Construction permit fee,Legal & Professional Services,Licensing & Permits,Institute of Certified Public Accountants of Kenya (ICPAK),200.36
Roundtrip to Cancun,Travel & Vacation,Flights,Qatar Airways,145.2
Birthday flowers Mom,Gifts & Donations,Personal Gifts,Benevolent Society of Kenya,167.35
Hotel,Nairobi,Business & Work Expenses,"Business Travel Expenses,WeTransfer Kenya",547.63
Acupuncture session,Health & Fitness,Alternative Medicine,Mayo Clinic,382.13
Gym,monthly,Health & Fitness,"Gym Memberships,Amref Health Africa",321.39
Toothpaste and floss,Personal Care & Grooming,Personal Hygiene Products,Sephora,380.32
Frames replacement,Health & Fitness,Vision Care,Kenya Red Cross Society,773.87
Wallet replacement,Miscellaneous & Unexpected Expenses,Lost or Stolen Items,Repairs,103.67
Beads for Mama,Leisure & Entertainment,Hobbies,Standard Group PLC,893.88
Highway 407 ETR,Transportation,Road Tolls,Multiple Hauliers E.A. Ltd.,722.19
Web dev fees,Business & Work Expenses,Freelancer Payments,Asana Kenya,128.58
Matatu fare,Utilities,Gas,Barefoot Power,260.67
Kazi Pro Annual,Business & Work Expenses,Software & SaaS Subscriptions,WooCommerce Kenya,942.54
Avocado,sukuma wiki,Food & Dining,"Specialty Foods,Peppertree",510.67
Chama contribution,Financial Expenses,Retirement Savings,Victoria Commercial Bank,751.42
Dog walking money,Income & Earnings,Side Hustle Earnings,Pension & Retirement,462.77
Spicy chicken sandwich,Food & Dining,Fast Food,McDonald's,684.23
Beads za kienyeji,Shopping,Hobby & Craft Supplies,Eastleigh Mall,638.56
Student Loan Payment,Financial Expenses,Loan Repayments,Caritas Microfinance Bank,446.22
Rides wristband,soda,Leisure & Entertainment,"Amusement Parks & Arcades,Awalient Entertainment Ltd",184.41
Gym,monthly,Health & Fitness,"Gym Memberships,Nairobi South Hospital",601.73
Kikapu bag,Travel & Vacation,Travel Accessories,Shanjoy Tours and Safaris,834.26
Manicure,pedicure combo,Personal Care & Grooming,"Salons & Beauty Treatments,Tira Beauty Kenya",391.37
Counseling session,Health & Fitness,Mental Health Therapy,Radiant Group of Hospitals,707.86
Stapler na wino,Business & Work Expenses,Office Supplies,Kenya Trade Network Agency (KenTrade),362.38
Gym,monthly,Health & Fitness,"Gym Memberships,Jaramogi Oginga Odinga Teaching & Referral Hospital",295.86
Ear lobe piercing,Personal Care & Grooming,Tattoos & Piercings,Kasha Kenya,95.45
Mascara na lipstick,Personal Care & Grooming,Skincare & Cosmetics,Joanna K Cosmetics,620.06
Matatu fare,Transportation,Fuel & Gasoline,Little Cab,360.46
Iced latte,Food & Dining,Cafés & Coffee Shops,Java House,70.71
Religious Donations purchase,Gifts & Donations,Religious Donations,Mission for Essential Drugs and Supplies (MEDS),396.54
Simu imeibiwa,Miscellaneous & Unexpected Expenses,Lost or Stolen Items,Overdraft Fees,110.2
Kitenge,thread,Shopping,"Hobby & Craft Supplies,The Hub Karen",152.74
Tax return fees,Legal & Professional Services,Tax Preparation Services,Consumer Protection Advisory Kenya,854.56
Christmas zawadi,Gifts & Donations,Holiday Gifts,KCB Foundation,826.07
Taka collection fees,Utilities,Waste Management & Recycling,Kenya Electricity Transmission Company (KETRACO),232.37
Land case retainer,Legal & Professional Services,Lawyer Fees,Professional Business Consultants Kenya,458.17
Shule kidogo,Childcare & Parenting,Daycare & Preschool Fees,Child Welfare Society of Kenya,64.16
Gel nail fill,Personal Care & Grooming,Manicure & Pedicure,Simple Skincare Kenya,449.77
